Cohort ID,Predictors,Timing of Predictor Measurement,Outcome,Model specification,"Effect Size, performance and significance"
Seymour 2016 VA (Veterans Administration) Overall cohort,qSOFA,Maximum score from 48h before to 24h after infection onset,In-Hospital Mortality,ROC for Logistic multivariable regression (Age + Charlson comorbidity index + Race/ethinicity + Male),AUROC 0.73 (95%CI 0.73–0.74)
Wang 2023 MIMIC-III Testing set,LDH + Age + Gender + Ethnicity + Potassium + Calcium + Albumin + Hemoglobin + ALP + Vasopressor + Elixhauser score + Respiratory failure,Within 24 hours of ICU admission,One-year mortality,"Nomogram, Multivariable logistric regression (LDH + Age + Gender + Ethnicity + Potassium + Calcium + Albumin + Hemoglobin + ALP + Vasopressor + Elixhauser score + Respiratory failure)",AUC: 0.750 (95% CI 0.711-0.789); Accuracy: 0.691 (95% CI 0.654-0.728); Sensitivity: 0.751 (95% CI 0.704-0.798); Specificity: 0.619 (95% CI 0.561-0.676); PPV: 0.703 (95% CI 0.655-0.751); NPV: 0.673 (95% CI 0.615-0.732)
Wang 2023 MIMIC-III Testing set,Simplified acute physiology score II (SAPS II),Within 24 hours of ICU admission,One-year mortality,Univarative logistic regression,AUC: 0.653 (95% CI 0.609-0.697); Accuracy: 0.610 (95% CI 0.571-0.649); Sensitivity: 0.594 (95% CI 0.540-0.647); Specificity: 0.659 (95% CI 0.604-0.713); PPV: 0.630 (95% CI 0.572-0.687); NPV: 0.563 (95% CI 0.507-0.619)
Wang 2023 MIMIC-III Training set,Age,Within 24 hours of ICU admission,One-year mortality,"Naive model, Comparison of survivors vs deaths (t-test), Univariate analysis","M 64.06 (SD 16.12) vs 71.04 (SD 14.24), t=-8.40, p<0.001"
Wang 2023 MIMIC-III Training set,DBP,Within 24 hours of ICU admission,One-year mortality,"Naive model, Comparison of survivors vs deaths (t-test), Univariate analysis","M 63.55 (SD 19.27) vs 60.15 (SD 17.94), t=3.39, p<0.001"
Wang 2023 MIMIC-III Training set,RBC,Within 24 hours of ICU admission,One-year mortality,"Naive model, Comparison of survivors vs deaths (t-test), Univariate analysis","M 3.87 (SD 0.76) vs 3.66 (SD 0.77), t=5.26, p<0.001"
Wang 2023 MIMIC-III Training set,LDH,Within 24 hours of ICU admission,One-year mortality,Univarative logistic regression (Model I),"OR 1.002 (95% CI 1.001-1.002), p<0.001"
Wang 2023 MIMIC-III Training set,CK,Within 24 hours of ICU admission,One-year mortality,Univarative logistic regression (Model I),"OR 1.000 (95% CI 1.000-1.000), p=0.046"
Wang 2023 MIMIC-III Training set,ALP,Within 24 hours of ICU admission,One-year mortality,"Multivariate logistic regression (Model II) Adjusted for age, gender, race","OR 1.000 (95% CI 1.000-1.001), p=0.485"
Wang 2023 MIMIC-III Training set,LDH,Within 24 hours of ICU admission,One-year mortality,"Multivariate logistic regression (Model III) Adjusted for age, gender, race, CHF, malignant tumor, AF, respiratory failure, Elixhauser score","OR 1.002 (95% CI 1.001-1.003), p<0.001"
Wang 2023 MIMIC-III Training set,CK,Within 24 hours of ICU admission,One-year mortality,"Multivariate logistic regression (Model III) Adjusted for age, gender, race, CHF, malignant tumor, AF, respiratory failure, Elixhauser score","OR 1.000 (95% CI 1.000-1.000), p=0.177"
Zhang 2021 MIMIC-IV Development set,Age,Within 24h of ICU admission,In-hospital mortality,"Naive model, Comparison of survivors vs deaths (Chi-square test), Univariate analysis","Median 66.0 (IQR 53.0-78.0) vs 75.0 (IQR 61.0-84.0), Z=N/A, p<0.001"
Zhang 2021 MIMIC-IV Development set,SOFA,Within 24h of ICU admission,In-hospital mortality,"Naive model, Comparison of survivors vs deaths (Chi-square test), Univariate analysis","Me 5 (3-7) vs 7 (5 - 11), p<0.001"
Zhang 2021 MIMIC-IV Development set,SAPS II,Within 24h of ICU admission,In-hospital mortality,ROC,AUC: 0.787
Zhang 2021 MIMIC-IV Development set,APS III,Within 24h of ICU admission,In-hospital mortality,ROC,AUC: 0.760
Zhang 2021 MIMIC-IV Development set,OASIS,Within 24h of ICU admission,In-hospital mortality,ROC,AUC: 0.771
Zhang 2021 MIMIC-IV Development set,"Race, Age, Mechanical ventilation, Lactate, Temperature, Systolic Blood Pressure (SBP), SpO2, Blood Urea Nitrogen (BUN), White Blood cell Count (WBC), Calcium (Ca), Heart Rate (HR), Respiratory Rate (RR), International Normalized Ratio (INR)",Within 24h of ICU admission,In-hospital mortality,Multivarative Logistic Regression without specification/coefficients,AUC: 0.799
Zhang 2021 MIMIC-IV Development set,"Race, Age, Mechanical ventilation, Lactate, Temperature, SBP, SpO2, BUN, WBC, Ca, HR, RR, INR",Within 24h of ICU admission,In-hospital mortality,XGBoost without specification/coefficients,AUC: 0.895
Zhang 2021 MIMIC-IV Validation set,SMRS,Within 24h of ICU admission,In-hospital mortality,sub-cohort mortality,mortality n/N (%) SMRS 0–6: 17/~609 (2.8%); SMRS 7–11: 51/~486 (10.5%); SMRS 12–14: 34/~161 (21.1%); SMRS ≥15: 54/~106 (51.2%); p<0.001
Zhang 2021 MIMIC-IV Validation set,APACHE IV score,Within 24h of ICU admission,In-hospital mortality,ROC,AUC: 0.754
Zhang 2021 MIMIC-IV Validation set,"Race, Age, Mechanical ventilation, Lactate, Temperature, SBP, SpO2, BUN, WBC, Ca, HR, RR, INR",Within 24h of ICU admission,In-hospital mortality,XGBoost without specification,AUC: 0.775
